Type,Title,Date,Author
Nautical chart,Nautical chart,1482,"Benincasa, Grazioso"
Printed volume,The History of Plants,1497,Teofrasto
Herbarium,On Medical Material,1523,Dioscorides Pedanius
Printed volume,The Natural History,1519,"Plinius Secundus, Gaius"
Nautical chart,Incomplete coastal profile of the American continent,1500-1599,"Agnese, Battista"
Nautical chart,Map of Cusco,1556,"Ramusio, Giovanni Battista"
Printed volume,On the New World,1530,"Anghiera, Pietro Martire d'"
Printed volume,Natural and Moral History of the Indies,1596,"Acosta, José de"
Printed material,Tobacco,1579,"Monardes, Nicolás"
Specimen,"Jaguar (Linnaeus, 1758)",1758,
